word_id,layer0_id,weight
0,0,0.05982384
0,1,0.0106518045
0,2,0.058047518
0,3,-0.046851918
0,4,0.05579915
0,5,-0.016080484
0,6,0.06055051
0,7,-0.020402983
0,8,0.042330846
0,9,0.0038134307
0,10,0.039967187
0,11,0.062151976
0,12,-0.0532973
0,13,-0.035051525
0,14,0.02615463
0,15,-0.010835737
1,0,-0.035488464
1,1,0.044860944
1,2,-0.019437972
1,3,0.026309922
1,4,0.02479291
1,5,-0.051057264
1,6,0.008356243
1,7,0.057419702
1,8,0.0115840435
1,9,0.04169756
1,10,0.036183566
1,11,-0.05560975
1,12,0.029620983
1,13,-0.010962721
1,14,0.019773826
1,15,-0.043793634
2,0,0.03428553
2,1,0.0076964423
2,2,0.06231015
2,3,-0.020723507
2,4,-0.012340311
2,5,0.009983808
2,6,0.028985582
2,7,0.02531898
2,8,0.056020044
2,9,0.050418086
2,10,-0.0024764128
2,11,-0.048732016
2,12,-0.013185546
2,13,0.060226694
2,14,0.02058179
2,15,-0.05972343
3,0,0.027098604
3,1,-0.026726272
3,2,0.007227376
3,3,-0.04017251
3,4,-0.046678677
3,5,-0.028921787
3,6,0.037733376
3,7,-0.027886711
3,8,-0.038669057
3,9,-0.006913405
3,10,-0.034429036
3,11,-0.050283674
3,12,-0.03017601
3,13,0.0034084246
3,14,-0.050609045
3,15,-0.0115956105
4,0,-0.038830638
4,1,-0.049816877
4,2,0.04053107
4,3,0.057666346
4,4,-0.006421156
4,5,0.0065262318
4,6,0.057812214
4,7,0.010270171
4,8,-0.04484115
4,9,0.0070149824
4,10,-0.031102173
4,11,-0.062168233
4,12,-0.03028543
4,13,-0.012622312
4,14,0.015025988
4,15,-0.026524447
5,0,-0.053206783
5,1,0.0180021
5,2,0.04457075
5,3,0.005338043
5,4,-0.05453647
5,5,-0.04853082
5,6,-0.03437476
5,7,0.018487886
5,8,0.039768986
5,9,0.004737295
5,10,0.028402738
5,11,-0.0074877776
5,12,0.033004247
5,13,-0.0046782605
5,14,0.03322044
5,15,-0.043604232
6,0,-0.020815283
6,1,-0.0072236806
6,2,-0.04152768
6,3,0.04753442
6,4,0.0068398267
6,5,-0.040976062
6,6,-0.05839926
6,7,-0.017772753
6,8,0.00945539
6,9,-0.06396765
6,10,-0.032760184
6,11,-0.046239004
6,12,-0.010836411
6,13,0.05581081
6,14,0.010669827
6,15,0.060088493
7,0,-0.064161785
7,1,-0.044523757
7,2,0.010262668
7,3,-0.053416245
7,4,0.06333495
7,5,0.028266378
7,6,-0.035913542
7,7,0.041616865
7,8,-0.022587955
7,9,0.010202207
7,10,-0.05625904
7,11,-0.062153704
7,12,-0.04772902
7,13,-0.03458933
7,14,0.024604365
7,15,-0.006221682
8,0,-0.019271512
8,1,-0.020194668
8,2,0.008768745
8,3,-0.008729603
8,4,0.03263665
8,5,-0.042172153
8,6,0.058645114
8,7,-0.028291583
8,8,-0.036004826
8,9,-0.04536132
8,10,0.0037174672
8,11,0.024772346
8,12,-0.0014949813
8,13,0.03073693
8,14,0.014316022
8,15,0.0076441616
9,0,-0.014627874
9,1,-0.02049568
9,2,0.02500806
9,3,0.01847709
9,4,0.01815056
9,5,0.011503696
9,6,0.047708295
9,7,-0.037853077
9,8,0.027578905
9,9,0.053893335
9,10,-0.034560826
9,11,0.050237447
9,12,0.03201984
9,13,-0.04773996
9,14,0.017699525
9,15,0.03597045
10,0,-0.038589306
10,1,-0.02586887
10,2,0.037286162
10,3,-0.0052702017
10,4,-0.047241203
10,5,-0.03828055
10,6,0.0299543
10,7,-0.02580465
10,8,0.06313797
10,9,-0.05220047
10,10,-0.046308734
10,11,0.062149294
10,12,0.016683213
10,13,-0.010592904
10,14,-0.038233653
10,15,-0.061543524
11,0,0.04400216
11,1,-0.061915323
11,2,0.017901704
11,3,0.05257885
11,4,-0.0008387342
11,5,0.015265584
11,6,0.010664687
11,7,0.048902266
11,8,0.05571179
11,9,-0.052055933
11,10,-0.039669074
11,11,0.045585357
11,12,-0.00045648217
11,13,0.030023694
11,14,0.05130118
11,15,0.04281848
12,0,-0.009799998
12,1,-0.04944149
12,2,0.032922104
12,3,-0.05051029
12,4,0.035118796
12,5,0.063710935
12,6,-0.007562693
12,7,-0.0010223165
12,8,0.031698428
12,9,0.03763272
12,10,0.057580262
12,11,-0.0017739907
12,12,-0.00042946637
12,13,-0.05948067
12,14,-0.037012935
12,15,-0.008718863
13,0,-0.053497955
13,1,0.02593524
13,2,0.045501933
13,3,-0.015092295
13,4,0.0074728057
13,5,0.05300562
13,6,0.029669061
13,7,-0.03952115
13,8,-0.054391872
13,9,0.061329924
13,10,-0.0077286325
13,11,0.06373782
13,12,-0.054234557
13,13,0.005925551
13,14,-0.0076956935
13,15,-0.025038961
14,0,-0.010007914
14,1,0.03144645
14,2,0.021702431
14,3,-0.018867217
14,4,-0.019217446
14,5,0.05802375
14,6,-0.037638336
14,7,0.024323061
14,8,0.039732635
14,9,-0.026332948
14,10,0.0040673614
14,11,0.034786567
14,12,-0.062257342
14,13,0.01326143
14,14,-0.0549614
14,15,-0.02737432
15,0,-0.063160956
15,1,0.01454363
15,2,0.0052180216
15,3,-0.0046091005
15,4,-0.028652396
15,5,-0.019889962
15,6,-0.04568094
15,7,0.0008562654
15,8,0.061943315
15,9,-0.033851333
15,10,0.029143095
15,11,-0.024490226
15,12,0.0035127625
15,13,-0.062304948
15,14,0.011786021
15,15,0.002586566
16,0,-0.060873
16,1,0.028573401
16,2,0.04146964
16,3,-0.011728503
16,4,-0.06429626
16,5,0.010097906
16,6,0.014683247
16,7,0.046272546
16,8,0.03010597
16,9,-0.042038582
16,10,0.02055218
16,11,0.032251015
16,12,-0.02921706
16,13,0.016305767
16,14,0.021199003
16,15,-0.04842697
17,0,-0.017921615
17,1,0.0320137
17,2,0.06258691
17,3,0.04278945
17,4,-0.05989326
17,5,-0.03751798
17,6,-0.040652037
17,7,-0.03545066
17,8,-0.028385185
17,9,-0.009454023
17,10,-0.04755567
17,11,0.051611587
17,12,0.03719923
17,13,-0.025025584
17,14,-0.009489156
17,15,0.046288528
18,0,0.029802404
18,1,0.023329131
18,2,0.04953371
18,3,-0.010988973
18,4,-0.059438713
18,5,-0.05643176
18,6,-0.010656126
18,7,-0.021848533
18,8,0.045783795
18,9,0.015313096
18,10,0.028312683
18,11,0.024955422
18,12,0.01917667
18,13,0.043509327
18,14,-0.058450624
18,15,0.028585441
19,0,-0.046308108
19,1,-0.0023929663
19,2,-0.015187658
19,3,-0.051517613
19,4,-0.05680328
19,5,-0.044087708
19,6,0.060421363
19,7,0.037123762
19,8,-0.047824692
19,9,-0.035630807
19,10,-0.060601957
19,11,-0.008388091
19,12,0.05918175
19,13,-0.038820773
19,14,-0.056114838
19,15,-0.024551913
20,0,0.00082722306
20,1,-0.006875694
20,2,-0.027724497
20,3,0.008469835
20,4,-0.013201255
20,5,0.008120462
20,6,-0.044285465
20,7,-0.045837782
20,8,0.058580667
20,9,0.0374955
20,10,-0.016404938
20,11,0.0064633638
20,12,0.054251343
20,13,-0.009292915
20,14,0.020837776
20,15,0.024057552
21,0,0.025086507
21,1,-0.044329587
21,2,-0.061095156
21,3,-0.03593909
21,4,0.016017951
21,5,0.058539532
21,6,-0.023400437
21,7,-0.025300004
21,8,-0.021583594
21,9,0.00014751405
21,10,-0.02952307
21,11,0.044664092
21,12,-0.03351877
21,13,0.0098204315
21,14,0.06007944
21,15,-0.063382305
22,0,0.057772435
22,1,0.0077917203
22,2,0.056461662
22,3,-0.058519114
22,4,0.03806883
22,5,0.034828514
22,6,-0.0043034554
22,7,0.014879696
22,8,-0.009007677
22,9,-0.03153092
22,10,-0.03599113
22,11,0.024944931
22,12,-0.043868728
22,13,0.06168849
22,14,0.0010924116
22,15,0.007814974
23,0,-0.026456822
23,1,0.030052342
23,2,0.037586033
23,3,0.0013724491
23,4,-0.036284834
23,5,0.0072539225
23,6,-0.04295352
23,7,0.038534842
23,8,-0.013772607
23,9,0.012125045
23,10,-0.028842222
23,11,0.020861812
23,12,0.010910928
23,13,-0.05276952
23,14,-0.05471519
23,15,0.008032925
24,0,-0.029564999
24,1,0.030399203
24,2,0.054254808
24,3,0.028287351
24,4,0.010610655
24,5,0.0062912554
24,6,0.012925789
24,7,-0.039917786
24,8,-0.05485037
24,9,0.048917964
24,10,0.022620387
24,11,0.031783313
24,12,-0.06359264
24,13,-0.058827028
24,14,-0.061473057
24,15,0.054751992
25,0,-0.045392253
25,1,-0.040560737
25,2,0.036794037
25,3,0.047987454
25,4,-0.010974828
25,5,0.06419098
25,6,0.035424992
25,7,0.048299633
25,8,0.0524266
25,9,0.04373984
25,10,0.044433407
25,11,0.060758643
25,12,0.00074299425
25,13,-0.049852856
25,14,-0.025140725
25,15,0.043421403
26,0,0.0045841113
26,1,0.014231503
26,2,-0.046007298
26,3,-0.032010127
26,4,0.00972981
26,5,0.051289
26,6,-0.0024810135
26,7,0.061554767
26,8,0.0058181435
26,9,-0.063324176
26,10,-0.040386423
26,11,0.009704113
26,12,-0.050106153
26,13,0.028424568
26,14,0.028345712
26,15,0.03828899
27,0,0.05465626
27,1,0.013056964
27,2,-0.05001269
27,3,-0.05956203
27,4,0.036367297
27,5,0.060494393
27,6,-0.05855834
27,7,0.03737054
27,8,-0.0631581
27,9,-0.0057608373
27,10,0.058394246
27,11,0.032561347
27,12,-0.049440615
27,13,0.043724865
27,14,0.014748864
27,15,0.026589483
28,0,0.044237107
28,1,-0.025436748
28,2,0.031732485
28,3,-0.03303686
28,4,0.06160041
28,5,-0.062344268
28,6,-0.018724062
28,7,-0.05326258
28,8,-0.044832453
28,9,-0.015264001
28,10,0.010864489
28,11,-0.041537914
28,12,0.05899214
28,13,-0.023765393
28,14,0.055594623
28,15,-0.061622184
29,0,0.02505403
29,1,0.05804251
29,2,-0.02576005
29,3,0.029294692
29,4,0.045497082
29,5,0.023178853
29,6,0.06231276
29,7,0.028592117
29,8,0.0066429228
29,9,-0.007439006
29,10,-0.062076613
29,11,0.013088614
29,12,0.02184324
29,13,0.011831924
29,14,-0.057379033
29,15,-0.027625084
30,0,0.022592172
30,1,0.023065694
30,2,0.042954855
30,3,-0.04110091
30,4,-0.01780023
30,5,-0.05085748
30,6,0.008934572
30,7,-0.06362709
30,8,-0.033572864
30,9,-0.050586846
30,10,-0.020671375
30,11,0.017065182
30,12,0.04184635
30,13,-0.0032032542
30,14,-0.037977852
30,15,0.012419246
31,0,-0.045196638
31,1,0.030830823
31,2,0.051260777
31,3,0.020187564
31,4,0.039751865
31,5,0.0011714548
31,6,0.047966823
31,7,-0.05904186
31,8,-0.025366284
31,9,0.028657168
31,10,0.023856863
31,11,-0.040846635
31,12,-0.009765357
31,13,0.031835213
31,14,0.021776088
31,15,-0.03083599
32,0,-0.05073473
32,1,-0.04260268
32,2,0.00686647
32,3,-0.005516641
32,4,-0.019191992
32,5,-0.019978452
32,6,0.045140915
32,7,-0.041983873
32,8,0.052090637
32,9,0.06267998
32,10,-0.038312983
32,11,0.03296139
32,12,-0.05104614
32,13,0.018187076
32,14,-0.0057530887
32,15,0.01680763
33,0,-0.02287947
33,1,-0.009231687
33,2,0.000947319
33,3,-0.0037342831
33,4,-0.035113625
33,5,-0.048432924
33,6,-0.051719498
33,7,0.051914416
33,8,-0.01124667
33,9,0.06261075
33,10,0.02142629
33,11,-0.002458293
33,12,-0.06207109
33,13,-0.011598203
33,14,-0.010553367
33,15,-0.043040417
34,0,-0.054408964
34,1,-0.0060118623
34,2,-0.043276776
34,3,-0.039474554
34,4,0.028429113
34,5,0.05204139
34,6,-0.014507335
34,7,-0.007371962
34,8,0.03616362
34,9,0.03950932
34,10,-0.0058987476
34,11,-0.015318096
34,12,-0.05934451
34,13,0.050993256
34,14,0.0324898
34,15,-0.018794667
35,0,-0.038620252
35,1,-0.005756587
35,2,0.017971478
35,3,-0.030972887
35,4,0.030827872
35,5,0.017902792
35,6,-0.00071418285
35,7,0.060318634
35,8,-0.0073917694
35,9,-0.01588101
35,10,0.0035246387
35,11,-0.023920331
35,12,-0.04501964
35,13,-0.035916306
35,14,0.009456724
35,15,0.03971599
36,0,-0.039143384
36,1,-0.0070974305
36,2,-0.042709753
36,3,0.035907865
36,4,0.0086250305
36,5,0.056918114
36,6,0.027303778
36,7,0.058660857
36,8,0.012462676
36,9,0.056929164
36,10,-0.0555312
36,11,-0.06395142
36,12,-0.06346572
36,13,0.027344003
36,14,-0.051918656
36,15,-0.021131448
37,0,0.032374024
37,1,-0.060463358
37,2,0.048240155
37,3,0.0069354326
37,4,0.05161281
37,5,0.03417387
37,6,-0.02409402
37,7,0.0027537197
37,8,0.053732798
37,9,-0.023377195
37,10,-0.035026286
37,11,0.02577021
37,12,-0.0052848086
37,13,-0.007885825
37,14,-0.035678044
37,15,0.047080986
38,0,-0.04206212
38,1,0.010536507
38,2,0.056735978
38,3,0.023494698
38,4,-0.05050541
38,5,-0.011433169
38,6,0.028547153
38,7,-0.0061808266
38,8,-0.0075835437
38,9,-0.055096194
38,10,0.061060943
38,11,-0.04387967
38,12,0.060639374
38,13,-0.06058827
38,14,0.03513655
38,15,0.044097528
39,0,-0.05831531
39,1,-0.020449098
39,2,0.03286293
39,3,0.034988634
39,4,0.05154497
39,5,-0.0034189299
39,6,0.035138264
39,7,-0.020555787
39,8,0.025265135
39,9,-0.027855795
39,10,-0.022412185
39,11,0.016776599
39,12,-0.01822858
39,13,-0.02474286
39,14,0.011739805
39,15,-0.054779075
40,0,-0.04380629
40,1,-0.0014274344
40,2,-0.033888802
40,3,0.05448644
40,4,-0.055329345
40,5,0.006956473
40,6,-0.03769561
40,7,-0.01538204
40,8,0.031331092
40,9,-0.00306895
40,10,0.048189893
40,11,-0.054431655
40,12,-0.013430893
40,13,-0.03074745
40,14,0.027538724
40,15,0.034395732
41,0,0.029224195
41,1,-0.032905947
41,2,0.04519307
41,3,0.01438345
41,4,-0.035372123
41,5,-0.015899897
41,6,0.041762136
41,7,-0.0034832582
41,8,0.0018521771
41,9,-0.012984596
41,10,-0.017393958
41,11,0.024071753
41,12,-0.018269558
41,13,0.038167804
41,14,0.050410412
41,15,0.031226784
42,0,0.02854833
42,1,0.0063289553
42,2,0.011328042
42,3,0.06230285
42,4,-0.013569817
42,5,0.015366681
42,6,-0.010164816
42,7,-0.050119884
42,8,-0.04809735
42,9,0.00011968613
42,10,0.048643276
42,11,0.023859732
42,12,-0.027811412
42,13,0.011840634
42,14,0.057011858
42,15,0.00078649074
43,0,-0.008730739
43,1,-0.046494707
43,2,0.03508141
43,3,0.06417223
43,4,0.029315539
43,5,-0.05561446
43,6,0.05638559
43,7,-0.06149452
43,8,-0.0533859
43,9,0.03516116
43,10,0.023209952
43,11,0.052434206
43,12,0.03471923
43,13,0.04715264
43,14,-0.043902405
43,15,-0.022996038
44,0,-0.03488815
44,1,-0.03238955
44,2,0.037387557
44,3,0.05949405
44,4,0.013759844
