paperA_id,paperB_id,weight
0,0,0.25
0,633,0.25
0,1862,0.22360679774997896
0,2582,0.25
1,1,0.25
1,2,0.2041241452319315
1,652,0.28867513459481287
1,654,0.3535533905932738
2,1,0.2041241452319315
2,2,0.16666666666666666
2,332,0.16666666666666666
2,1454,0.2886751345948129
2,1666,0.1543033499620919
2,1986,0.050251890762960605
3,3,0.5000000000000001
3,2544,0.5000000000000001
4,4,0.16666666666666666
4,1016,0.16666666666666666
4,1256,0.13608276348795434
4,1761,0.14433756729740646
4,2175,0.16666666666666666
4,2176,0.13608276348795434
5,5,0.25
5,1629,0.25
5,1659,0.28867513459481287
5,2546,0.22360679774997896
6,6,0.19999999999999998
6,373,0.22360679774997896
6,1042,0.09128709291752768
6,1416,0.10259783520851541
6,1602,0.13483997249264842
7,7,0.5000000000000001
7,208,0.5000000000000001
8,8,0.25
8,269,0.2041241452319315
8,281,0.16666666666666666
8,1996,0.2041241452319315
9,9,0.3333333333333333
9,723,0.3333333333333333
9,2614,0.23570226039551584
10,10,0.3333333333333333
10,476,0.23570226039551584
10,2545,0.408248290463863
11,11,0.3333333333333333
11,1655,0.16012815380508713
11,1839,0.2182178902359924
12,12,0.19999999999999998
12,1001,0.2581988897471611
12,1318,0.22360679774997896
12,2661,0.2581988897471611
12,2662,0.22360679774997896
13,13,0.3333333333333333
13,1701,0.06666666666666667
13,1810,0.08606629658238704
14,14,0.16666666666666666
14,158,0.18257418583505536
14,2034,0.06375767130633384
14,2075,0.13608276348795434
14,2077,0.1543033499620919
14,2668,0.16666666666666666
15,15,0.19999999999999998
15,1090,0.15811388300841897
15,1093,0.16903085094570333
15,1271,0.18257418583505536
15,2367,0.11547005383792514
16,16,0.19999999999999998
16,970,0.18257418583505536
16,1632,0.22360679774997896
16,2444,0.16903085094570333
16,2642,0.19999999999999998
17,17,0.16666666666666666
17,24,0.14433756729740646
17,927,0.2041241452319315
17,1315,0.23570226039551584
17,1316,0.18257418583505536
17,2140,0.16666666666666666
18,18,0.16666666666666666
18,139,0.13608276348795434
18,1560,0.2041241452319315
18,1786,0.2041241452319315
18,2082,0.23570226039551584
18,2145,0.18257418583505536
19,19,0.5000000000000001
19,1939,0.408248290463863
20,20,0.16666666666666666
20,1072,0.07332355751067665
20,2269,0.14433756729740646
20,2270,0.1543033499620919
20,2374,0.2886751345948129
20,2375,0.18257418583505536
21,21,0.3333333333333333
21,1043,0.3333333333333333
21,2310,0.3333333333333333
22,22,0.16666666666666666
22,39,0.14433756729740646
22,1234,0.18257418583505536
22,1702,0.12309149097933274
22,1703,0.09622504486493763
22,2238,0.11785113019775792
23,23,0.5000000000000001
23,2159,0.3535533905932738
24,17,0.14433756729740646
