paper_id,word_id,weight
0,1274,0.11111111
0,1247,0.11111111
0,1194,0.11111111
0,877,0.11111111
0,774,0.11111111
0,315,0.11111111
0,146,0.11111111
0,81,0.11111111
0,19,0.11111111
1,1349,0.04347826
1,1339,0.04347826
1,1332,0.04347826
1,1262,0.04347826
1,1257,0.04347826
1,1254,0.04347826
1,1177,0.04347826
1,1058,0.04347826
1,889,0.04347826
1,808,0.04347826
1,763,0.04347826
1,687,0.04347826
1,548,0.04347826
1,507,0.04347826
1,472,0.04347826
1,359,0.04347826
1,336,0.04347826
1,332,0.04347826
1,233,0.04347826
1,212,0.04347826
1,149,0.04347826
1,88,0.04347826
1,19,0.04347826
2,1353,0.05263158
2,1314,0.05263158
2,1263,0.05263158
2,1209,0.05263158
2,1177,0.05263158
2,1091,0.05263158
2,1076,0.05263158
2,912,0.05263158
2,715,0.05263158
2,702,0.05263158
2,647,0.05263158
2,551,0.05263158
2,507,0.05263158
2,480,0.05263158
2,381,0.05263158
2,322,0.05263158
2,128,0.05263158
2,89,0.05263158
2,19,0.05263158
3,1336,0.04761905
3,1314,0.04761905
3,1255,0.04761905
3,1254,0.04761905
3,1212,0.04761905
3,1131,0.04761905
3,1071,0.04761905
3,918,0.04761905
3,856,0.04761905
3,814,0.04761905
3,723,0.04761905
3,721,0.04761905
3,715,0.04761905
3,540,0.04761905
3,507,0.04761905
3,470,0.04761905
3,452,0.04761905
3,402,0.04761905
3,359,0.04761905
3,283,0.04761905
3,93,0.04761905
4,1351,0.055555556
4,1348,0.055555556
4,1266,0.055555556
4,1253,0.055555556
4,1230,0.055555556
4,1209,0.055555556
4,1177,0.055555556
4,1171,0.055555556
4,1060,0.055555556
4,893,0.055555556
4,860,0.055555556
4,819,0.055555556
4,747,0.055555556
4,698,0.055555556
4,586,0.055555556
4,337,0.055555556
4,81,0.055555556
4,3,0.055555556
5,1379,0.07692308
5,1333,0.07692308
5,1328,0.07692308
5,1177,0.07692308
5,1159,0.07692308
5,1131,0.07692308
5,801,0.07692308
5,507,0.07692308
5,474,0.07692308
5,378,0.07692308
5,291,0.07692308
5,247,0.07692308
5,23,0.07692308
6,1381,0.055555556
6,1352,0.055555556
6,1348,0.055555556
6,1332,0.055555556
6,1263,0.055555556
6,1197,0.055555556
6,1195,0.055555556
6,1131,0.055555556
6,926,0.055555556
6,834,0.055555556
6,827,0.055555556
6,724,0.055555556
6,507,0.055555556
6,503,0.055555556
6,322,0.055555556
6,151,0.055555556
6,136,0.055555556
6,52,0.055555556
7,1373,0.071428575
7,1371,0.071428575
7,1255,0.071428575
7,1148,0.071428575
7,1120,0.071428575
7,819,0.071428575
7,754,0.071428575
7,644,0.071428575
7,615,0.071428575
7,596,0.071428575
7,540,0.071428575
7,338,0.071428575
7,267,0.071428575
7,48,0.071428575
8,1427,0.05
8,1426,0.05
8,1340,0.05
8,1334,0.05
8,1330,0.05
8,1284,0.05
8,1261,0.05
8,1198,0.05
8,1177,0.05
8,1171,0.05
8,1076,0.05
8,1075,0.05
8,1015,0.05
8,952,0.05
8,922,0.05
8,921,0.05
8,702,0.05
8,614,0.05
8,438,0.05
8,238,0.05
9,1075,0.33333334
9,593,0.33333334
9,118,0.33333334
10,1355,0.05882353
10,1352,0.05882353
10,1330,0.05882353
10,1301,0.05882353
10,1292,0.05882353
10,1263,0.05882353
10,1209,0.05882353
10,1138,0.05882353
10,939,0.05882353
10,926,0.05882353
10,701,0.05882353
10,643,0.05882353
10,604,0.05882353
10,581,0.05882353
10,237,0.05882353
10,214,0.05882353
10,179,0.05882353
11,1389,0.03846154
11,1328,0.03846154
11,1308,0.03846154
11,1301,0.03846154
11,1275,0.03846154
11,1263,0.03846154
11,1209,0.03846154
11,1140,0.03846154
11,1090,0.03846154
11,1049,0.03846154
11,986,0.03846154
11,860,0.03846154
11,774,0.03846154
11,725,0.03846154
11,565,0.03846154
11,513,0.03846154
11,507,0.03846154
11,461,0.03846154
11,359,0.03846154
11,277,0.03846154
